Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0603,2,0.01uF,C57112
"C10, C12, C5",0805,3,10uF,C15850
"C11, C13, C2, C4, C7",0603,5,100nF,C14663
C14,0603,1,22pF,C1653
C15,CP_Elec_6.3x7.7,1,220uF,C2887273
"C3, C8",0603,2,2.2uF,C23630
C9,0805,1,47uF,C16780
"D1, D2, D3, D4, D5, D6, D7, D8",DIO_VSMB10940,8,VSMB10940,C4749241
D9,LED_Kingbright_APA1606_1.6x0.6mm_Horizontal,1,LED,C965860
J1,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SlipRing_6,C2908604
"J10, J8, J9",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Socket,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,C158012
"J3, J4, J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Socket,C131337
J6,JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,1,Conn_01x02_Socket,C163033
J7,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,C50950
L1,L_Changjiang_FXL0630,1,4.7uH,C167220
PS1,SOT95P285X100-6N,1,SY8113BADC,C78989
Q1,SOT-23-3,1,Q_PMOS,C15127
"R1, R2",0603,2,3.3kΩ,C22978
"R10, R11, R12, R13, R14, R7, R8, R9",0603,8,330RΩ,C23138
"R15, R4",0603,2,100kΩ,C25803
R16,0603,1,22kΩ,C31850
R17,0603,1,1k2Ω,C22765
R5,0603,1,10kΩ,C25804
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCA9685PW,C2678753
"U2, U3",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,2,DRV8833PWP,C50506
