Designator,Mid X,Mid Y,Rotation,Layer
C1,103.7,-93.225,180.0,top
C10,124.825,-90.625,90.0,top
C11,107.375,-114.975,270.0,top
C12,105.375,-114.975,270.0,top
C13,119.325,-90.925,90.0,top
C14,119.925,-94.775,270.0,top
C15,132.825,-89.7,90.0,top
C2,103.088,-98.052,0.0,top
C3,103.275,-88.175,180.0,top
C4,104.9,-90.425,270.0,top
C5,103.1,-90.65,270.0,top
C6,106.0,-117.5,180.0,top
C7,107.65,-94.7,180.0,top
C8,105.425,-112.475,180.0,top
C9,107.6,-92.9,180.0,top
D1,155.225437,-121.089563,225.0,top
D2,118.438,-122.485,180.0,top
D3,81.600563,-121.039563,135.0,top
D4,156.788,-102.627,270.0,top
D5,80.088,-102.627,90.0,top
D6,81.600563,-84.264437,45.0,top
D7,118.388,-82.727,0.0,top
D8,155.150563,-84.239563,315.0,top
D9,155.194,-111.887,270.0,top
J1,117.575,-112.649,180.0,top
J2,145.5,-104.0,270.0,top
J3,88.988,-91.427,90.0,top
J4,88.988,-106.877,90.0,top
J5,88.988,-114.252,90.0,top
J6,145.575,-96.05,90.0,top
J7,137.73,-118.325,90.0,top
L1,113.85,-92.45,180.0,top
PS1,121.932,-90.975,90.0,top
Q1,140.85,-91.6375,0.0,top
R1,105.113,-102.177,180.0,top
R10,153.888,-104.252,180.0,top
R11,82.988,-100.877,0.0,top
R12,83.838,-85.177,225.0,top
R13,113.738,-84.602,180.0,top
R14,154.175,-86.625,135.0,top
R15,121.475,-94.775,90.0,top
R16,123.025,-94.75,90.0,top
R17,151.363,-112.727,0.0,top
R2,105.113,-100.252,180.0,top
R4,142.425,-95.375,270.0,top
R5,100.663,-97.252,270.0,top
R7,150.975,-120.875,180.0,top
R8,113.888,-120.577,180.0,top
R9,82.438,-117.677,45.0,top
U1,99.688,-104.052,270.0,top
U2,97.8375,-91.1625,270.0,top
U3,99.938,-115.052,270.0,top
