Designator,Mid X,Mid Y,Rotation,Layer
C1,86.7,-51.2,0.0,top
C10,75.75,-83.85,0.0,top
C11,67.3125,-84.15,180.0,top
C12,82.05,-83.6,180.0,top
C13,81.9,-85.4,180.0,top
C14,67.2125,-86.325,90.0,top
C15,66.0,-72.35,90.0,top
C16,64.35,-72.35,90.0,top
C17,77.33125,-88.86875,90.0,top
C18,85.0,-69.7,270.0,top
C19,61.2,-83.3,0.0,top
C2,84.7,-53.9,270.0,top
C20,79.55,-88.6,180.0,top
C21,59.85,-84.55,0.0,top
C23,59.43,-70.64,90.0,top
C24,84.63,-78.7,270.0,top
C25,84.75,-75.425,90.0,top
C26,77.65,-51.1,270.0,top
C27,55.85,-68.35,0.0,top
C28,56.17,-70.92,90.0,top
C29,82.9,-69.7,270.0,top
C3,58.5,-92.525,90.0,top
C4,61.7,-99.3,180.0,top
C5,69.7,-90.9,270.0,top
C6,70.625,-97.3,180.0,top
C7,74.5,-94.6,0.0,top
C8,64.4625,-90.0625,0.0,top
C9,60.3,-88.5,180.0,top
D1,87.0,-54.5,90.0,top
D2,81.8,-51.6,0.0,top
D3,79.9,-99.7,0.0,top
D4,76.5,-99.6,180.0,top
FB1,61.35,-90.0625,180.0,top
FB2,75.45,-86.3125,270.0,top
FPC1,71.3,-76.2725,0.0,top
J1,85.3,-62.5,270.0,bottom
J2,81.8,-46.3275,180.0,top
L1,63.8,-94.5,180.0,top
PS1,70.6,-94.65,180.0,top
Q1,57.15,-75.08,90.0,top
R1,79.4,-51.675,270.0,top
R10,67.8,-72.1,270.0,top
R11,67.8,-68.4,0.0,top
R12,69.45,-72.1,270.0,top
R13,63.0,-69.24,270.0,top
R14,81.05,-69.9,90.0,top
R15,75.1,-46.2,270.0,top
R16,65.0,-46.8,180.0,top
R17,80.6,-97.1,90.0,top
R18,73.0,-99.8,180.0,top
R19,78.32,-56.22,0.0,top
R2,84.25,-56.65,0.0,top
R20,79.74,-54.17,0.0,top
R21,76.7,-54.6,180.0,top
R22,76.63,-53.47,180.0,top
R23,73.59,-68.26,0.0,top
R24,76.389376,-65.460624,225.0,top
R25,78.3,-57.82,0.0,top
R3,74.5,-96.1,180.0,top
R4,74.5,-93.1,180.0,top
R5,61.25,-74.75,90.0,top
R6,82.1,-75.0,180.0,top
R7,61.45,-69.25,90.0,top
R8,57.93,-71.6,90.0,top
R9,59.65,-74.75,270.0,top
SW1,70.55,-44.75,180.0,top
SW2,59.45,-44.75,0.0,top
U1,64.63,-57.7,90.0,top
U3,78.43125,-85.66875,270.0,top
U4,64.1125,-85.35,180.0,top
